tail_probability,tail_visibility,probability_error,impact_error,value_shift,negative_impact_confidence,method,cases,mean_true_value,mean_regret,p90_regret,harmful_choice_rate,catastrophe_exposure,affected_harm_rate,baseline_selection_rate,certification_rate,certified_nonoracle_rate,certified_harmful_rate
0.0,included,0.0,15.0,0.0,0.4,confidence_shrink,1000,18.4319426189864,0.4921960442231312,0.7081253839522867,0.001,0.0,0.0,0.011,0.0,0.0,0.0
0.0,included,0.0,15.0,0.0,0.4,minimax_regret,1000,17.923199543989618,1.000939119219916,4.162380276077089,0.001,0.0,0.0,0.021,0.0,0.0,0.0
0.0,included,0.0,15.0,0.0,0.4,robustness_gate,1000,16.94605851178142,1.9780801514281154,10.457141986683297,0.001,0.0,0.0,0.134,0.866,0.062,0.001
0.0,included,0.0,15.0,0.5,1.0,oracle_expected,1000,18.493372912661435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,1.0,baseline,1000,0.0,18.493372912661435,27.158186734819424,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,1.0,declared_raw,1000,16.598029621581507,1.8953432910799268,8.620357413857635,0.0,0.0,0.0,0.045,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,1.0,confidence_shrink,1000,16.598029621581507,1.8953432910799268,8.620357413857635,0.0,0.0,0.0,0.045,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,1.0,minimax_regret,1000,16.56977759338334,1.923595319278095,8.792238413833783,0.0,0.0,0.0,0.045,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,1.0,robustness_gate,1000,13.647414792000145,4.845958120661289,16.622590696481947,0.0,0.0,0.0,0.262,0.738,0.111,0.0
0.0,included,0.0,15.0,0.5,0.4,oracle_expected,1000,18.622685097972834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,0.4,baseline,1000,0.0,18.622685097972834,26.985117788074643,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,0.4,declared_raw,1000,16.905953570112853,1.7167315278599804,7.542112472684983,0.0,0.0,0.0,0.046,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,0.4,confidence_shrink,1000,17.677008797870148,0.9456763001026858,2.5920754057518556,0.0,0.0,0.0,0.02,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,0.4,minimax_regret,1000,16.85019564027284,1.7724894576999939,7.620459279313976,0.0,0.0,0.0,0.046,0.0,0.0,0.0
0.0,included,0.0,15.0,0.5,0.4,robustness_gate,1000,15.857419486331718,2.7652656116411136,12.550960829562122,0.0,0.0,0.0,0.162,0.838,0.082,0.0
0.0,included,0.15,0.0,0.0,1.0,oracle_expected,1000,18.592966123369383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,1.0,baseline,1000,0.0,18.592966123369383,27.225581919904283,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,1.0,declared_raw,1000,18.55514184065215,0.037824282717231136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,1.0,confidence_shrink,1000,18.55514184065215,0.037824282717231136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,1.0,minimax_regret,1000,18.558813571944718,0.03415255142466764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,1.0,robustness_gate,1000,16.58899857794387,2.0039675454255144,10.742926058198071,0.0,0.0,0.0,0.177,0.823,0.0,0.0
0.0,included,0.15,0.0,0.0,0.4,oracle_expected,1000,18.915126174578017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,0.4,baseline,1000,0.0,18.915126174578017,27.222829854787054,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,0.4,declared_raw,1000,18.873310720283317,0.041815454294700474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,0.4,confidence_shrink,1000,18.77701074602629,0.13811542855172837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,0.4,minimax_regret,1000,18.877611799717098,0.03751437486091632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.0,0.4,robustness_gate,1000,18.2895515620401,0.6255746125379186,0.0,0.0,0.0,0.0,0.056,0.944,0.026,0.0
0.0,included,0.15,0.0,0.5,1.0,oracle_expected,1000,18.835160566254704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,1.0,baseline,1000,0.0,18.835160566254704,27.84264641934898,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,1.0,declared_raw,1000,18.523887971328083,0.3112725949266221,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,1.0,confidence_shrink,1000,18.523887971328083,0.3112725949266221,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,1.0,minimax_regret,1000,18.517681617135143,0.31747894911956476,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,1.0,robustness_gate,1000,16.001815073922998,2.8333454923317087,13.173829417455254,0.0,0.0,0.0,0.211,0.789,0.017,0.0
0.0,included,0.15,0.0,0.5,0.4,oracle_expected,1000,18.522518136263585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,0.4,baseline,1000,0.0,18.522518136263585,27.23694377339265,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,0.4,declared_raw,1000,18.008330649569302,0.5141874866942836,0.021505321625098155,0.0,0.0,0.0,0.015,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,0.4,confidence_shrink,1000,18.355836221141374,0.1666819151222114,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,0.4,minimax_regret,1000,18.007281563207833,0.5152365730557491,0.20376373804503084,0.0,0.0,0.0,0.015,0.0,0.0,0.0
0.0,included,0.15,0.0,0.5,0.4,robustness_gate,1000,17.466387163384653,1.0561309728789308,2.5865355230900042,0.001,0.0,0.0,0.093,0.907,0.025,0.001
