groups,max_duplicates,rho,signal_strength,trials,method,brier,brier_mcse,log_loss,log_loss_mcse,accuracy,ece,confidently_wrong,sharpness
3,1,0.0,0.25,2500,oracle,0.2118678015209434,0.003330834538906131,0.6112027874113383,0.007542941222830216,0.6588,0.02244726305420338,0.002,0.16549141441454251
3,1,0.0,0.25,2500,estimated,0.2118678015209434,0.003330834538906131,0.6112027874113383,0.007542941222830216,0.6588,0.02244726305420338,0.002,0.16549141441454251
3,1,0.0,0.25,2500,conservative,0.2118678015209434,0.003330834538906131,0.6112027874113383,0.007542941222830216,0.6588,0.02244726305420338,0.002,0.16549141441454251
3,1,0.0,0.25,2500,naive,0.2118678015209434,0.003330834538906131,0.6112027874113383,0.007542941222830216,0.6588,0.02244726305420338,0.002,0.16549141441454251
3,1,0.0,0.25,2500,one_per_group,0.2118678015209434,0.003330834538906131,0.6112027874113383,0.007542941222830216,0.6588,0.02244726305420338,0.002,0.16549141441454251
3,1,0.0,0.75,2500,oracle,0.06553942863281471,0.003308704469490855,0.2151956735289289,0.009503182593733523,0.9104,0.017092351258280555,0.0124,0.40301298872216323
3,1,0.0,0.75,2500,estimated,0.06553942863281471,0.003308704469490855,0.2151956735289289,0.009503182593733523,0.9104,0.017092351258280555,0.0124,0.40301298872216323
3,1,0.0,0.75,2500,conservative,0.06553942863281471,0.003308704469490855,0.2151956735289289,0.009503182593733523,0.9104,0.017092351258280555,0.0124,0.40301298872216323
3,1,0.0,0.75,2500,naive,0.06553942863281471,0.003308704469490855,0.2151956735289289,0.009503182593733523,0.9104,0.017092351258280555,0.0124,0.40301298872216323
3,1,0.0,0.75,2500,one_per_group,0.06553942863281471,0.003308704469490855,0.2151956735289289,0.009503182593733523,0.9104,0.017092351258280555,0.0124,0.40301298872216323
3,1,0.25,0.25,2500,oracle,0.208942038074836,0.0034005109177628183,0.6054717015450523,0.0077795912003151045,0.68,0.022356346071389144,0.002,0.1708080547854136
3,1,0.25,0.25,2500,estimated,0.208942038074836,0.0034005109177628183,0.6054717015450523,0.0077795912003151045,0.68,0.022356346071389144,0.002,0.1708080547854136
3,1,0.25,0.25,2500,conservative,0.208942038074836,0.0034005109177628183,0.6054717015450523,0.0077795912003151045,0.68,0.022356346071389144,0.002,0.1708080547854136
3,1,0.25,0.25,2500,naive,0.208942038074836,0.0034005109177628183,0.6054717015450523,0.0077795912003151045,0.68,0.022356346071389144,0.002,0.1708080547854136
3,1,0.25,0.25,2500,one_per_group,0.208942038074836,0.0034005109177628183,0.6054717015450523,0.0077795912003151045,0.68,0.022356346071389144,0.002,0.1708080547854136
3,1,0.25,0.75,2500,oracle,0.06492635795871425,0.0033003620572370556,0.21218552323602324,0.009304243527153193,0.9112,0.015565314379479125,0.0112,0.40448506239747495
3,1,0.25,0.75,2500,estimated,0.06492635795871425,0.0033003620572370556,0.21218552323602324,0.009304243527153193,0.9112,0.015565314379479125,0.0112,0.40448506239747495
3,1,0.25,0.75,2500,conservative,0.06492635795871425,0.0033003620572370556,0.21218552323602324,0.009304243527153193,0.9112,0.015565314379479125,0.0112,0.40448506239747495
3,1,0.25,0.75,2500,naive,0.06492635795871425,0.0033003620572370556,0.21218552323602324,0.009304243527153193,0.9112,0.015565314379479125,0.0112,0.40448506239747495
3,1,0.25,0.75,2500,one_per_group,0.06492635795871425,0.0033003620572370556,0.21218552323602324,0.009304243527153193,0.9112,0.015565314379479125,0.0112,0.40448506239747495
3,1,0.5,0.25,2500,oracle,0.20831239084671557,0.003311815328336849,0.6039689973488339,0.007528287539196068,0.68,0.03008057204096573,0.0008,0.16598661968360662
3,1,0.5,0.25,2500,estimated,0.20831239084671557,0.003311815328336849,0.6039689973488339,0.007528287539196068,0.68,0.03008057204096573,0.0008,0.16598661968360662
3,1,0.5,0.25,2500,conservative,0.20831239084671557,0.003311815328336849,0.6039689973488339,0.007528287539196068,0.68,0.03008057204096573,0.0008,0.16598661968360662
3,1,0.5,0.25,2500,naive,0.20831239084671557,0.003311815328336849,0.6039689973488339,0.007528287539196068,0.68,0.03008057204096573,0.0008,0.16598661968360662
3,1,0.5,0.25,2500,one_per_group,0.20831239084671557,0.003311815328336849,0.6039689973488339,0.007528287539196068,0.68,0.03008057204096573,0.0008,0.16598661968360662
3,1,0.5,0.75,2500,oracle,0.06597994648116971,0.0033582815010768817,0.21695153197637182,0.009764134441250545,0.914,0.01442428968099579,0.0152,0.40470064294612224
3,1,0.5,0.75,2500,estimated,0.06597994648116971,0.0033582815010768817,0.21695153197637182,0.009764134441250545,0.914,0.01442428968099579,0.0152,0.40470064294612224
3,1,0.5,0.75,2500,conservative,0.06597994648116971,0.0033582815010768817,0.21695153197637182,0.009764134441250545,0.914,0.01442428968099579,0.0152,0.40470064294612224
3,1,0.5,0.75,2500,naive,0.06597994648116971,0.0033582815010768817,0.21695153197637182,0.009764134441250545,0.914,0.01442428968099579,0.0152,0.40470064294612224
