regime,case,method,action,net_utility,regret,outcome_lower_tail_mean,severe_loss_probability,worst_group_expected_score,predicted_net_utility,latent_brier,false_low_risk,baseline,cost,steps,planner_nodes
matched,0,stop,mechanism_repair,-0.1884601903550822,16.409660189110568,-16.71165061461931,0.01,-5.846807110413686,4.74689363109968,1.1347921649891242,0,0,0.0,0,0
matched,0,fixed,general,10.277406941420836,5.9437930573346485,-3.451319148671379,0.01,4.268736841777758,2.246151484998924,0.0984719695452715,0,0,5.9437930573346485,3,0
matched,0,random,general,10.277406941420836,5.9437930573346485,-3.451319148671379,0.01,4.268736841777758,2.246151484998922,0.09847196954527156,0,0,5.9437930573346485,3,0
matched,0,entropy,general,10.277406941420836,5.9437930573346485,-3.451319148671379,0.01,4.268736841777758,2.246151484998924,0.0984719695452715,0,0,5.9437930573346485,3,0
matched,0,myopic,source_repair,0.35119421898721137,15.870005779768272,-15.80340873339,0.01,-4.722857782392414,12.364852338436304,1.157889756066533,0,0,0.5842949186789783,1,2
matched,0,sequential,source_repair,0.35119421898721137,15.870005779768272,-15.80340873339,0.01,-4.722857782392414,12.364852338436304,1.157889756066533,0,0,0.5842949186789783,1,36
matched,1,stop,source_repair,18.350316118724976,0.0,-2.1406569237592077,0.01,2.0708528936366233,9.047050237938336,0.39411963104072106,0,0,0.0,0,0
matched,1,fixed,source_repair,11.193187992175496,7.15712812654948,-2.1406569237592077,0.01,2.0708528936366233,7.499711208657897,0.0891770140487371,0,0,7.157128126549481,3,0
matched,1,random,source_repair,11.193187992175494,7.157128126549482,-2.1406569237592077,0.01,2.0708528936366233,7.499711208657896,0.08917701404873714,0,0,7.157128126549482,3,0
matched,1,entropy,source_repair,11.193187992175496,7.15712812654948,-2.1406569237592077,0.01,2.0708528936366233,7.499711208657895,0.08917701404873718,0,0,7.157128126549481,3,0
matched,1,myopic,source_repair,15.746125377046244,2.6041907416787318,-2.1406569237592077,0.01,2.0708528936366233,14.596630593483624,0.0060168780756675614,0,0,2.6041907416787313,1,2
matched,1,sequential,source_repair,15.746125377046244,2.6041907416787318,-2.1406569237592077,0.01,2.0708528936366233,14.596630593483624,0.0060168780756675614,0,0,2.6041907416787313,1,36
matched,2,stop,mechanism_repair,21.397461311206825,0.0,-1.2182162767618654,0.01,1.0024904777519508,6.715657034057106,0.5010511701221808,0,0,0.0,0,0
matched,2,fixed,mechanism_repair,17.778678052785494,3.618783258421331,-1.2182162767618654,0.01,1.0024904777519508,6.920367260319492,0.2829178826715311,0,0,3.618783258421332,3,0
matched,2,random,mechanism_repair,17.778678052785494,3.618783258421331,-1.2182162767618654,0.01,1.0024904777519508,6.920367260319492,0.2829178826715311,0,0,3.618783258421332,3,0
matched,2,entropy,mechanism_repair,17.778678052785494,3.618783258421331,-1.2182162767618654,0.01,1.0024904777519508,6.920367260319488,0.2829178826715312,0,0,3.618783258421332,3,0
matched,2,myopic,mechanism_repair,18.100976519868954,3.296484791337871,-1.2182162767618654,0.01,1.0024904777519508,13.699697572792289,0.04648294673201017,0,0,3.2964847913378708,2,3
matched,2,sequential,mechanism_repair,17.778678052785494,3.618783258421331,-1.2182162767618654,0.01,1.0024904777519508,6.920367260319488,0.2829178826715312,0,0,3.618783258421332,3,37
matched,3,stop,mechanism_repair,18.124995011742335,0.0,-1.0319057769702678,0.01,0.849172462298449,4.37205277862518,0.5533003452073044,0,0,0.0,0,0
matched,3,fixed,mechanism_repair,10.638459419455959,7.486535592286376,-1.0319057769702678,0.01,0.849172462298449,4.168002581145946,0.12730209959112965,0,0,7.486535592286375,3,0
matched,3,random,mechanism_repair,10.638459419455959,7.486535592286376,-1.0319057769702678,0.01,0.849172462298449,4.168002581145946,0.12730209959112965,0,0,7.486535592286375,3,0
matched,3,entropy,mechanism_repair,10.638459419455959,7.486535592286376,-1.0319057769702678,0.01,0.849172462298449,4.16800258114595,0.1273020995911296,0,0,7.486535592286375,3,0
matched,3,myopic,mechanism_repair,15.727587599216122,2.3974074125262135,-1.0319057769702678,0.01,0.849172462298449,9.17155401514398,0.1984065974471296,0,0,2.397407412526214,1,2
matched,3,sequential,mechanism_repair,15.727587599216122,2.3974074125262135,-1.0319057769702678,0.01,0.849172462298449,9.17155401514398,0.1984065974471296,0,0,2.397407412526214,1,36
matched,4,stop,mechanism_repair,-0.1952022675371453,16.99670828302351,-17.30950227799267,0.01,-6.055973962748795,10.392080772767262,0.8433078970882854,0,0,0.0,0,0
matched,4,fixed,mechanism_repair,-4.055484358816172,20.856990374302537,-17.30950227799267,0.01,-6.055973962748795,10.831552089806689,1.3469040502181326,0,0,3.8602820912790268,3,0
matched,4,random,mechanism_repair,-4.055484358816172,20.856990374302537,-17.30950227799267,0.01,-6.055973962748795,10.831552089806689,1.3469040502181326,0,0,3.8602820912790268,3,0
